,MouseID,BRAF_N,pERK_N,S6_N,pGSK3B_N,CaNA_N,CDK5_N,pNUMB_N,DYRK1A_N,ITSN1_N,SOD1_N,GFAP_N,Genotype,Treatment,Behavior,Class
0,309_1,0.416289147,0.687906244,0.354604528,0.192608387,1.67565235,0.29469997,0.394721292,0.503643884,0.747193224,0.369509553,0.115290892,1,0,1,6
1,309_2,0.400364229,0.69500623,0.354548277,0.194815275,1.743609645,0.294059816,0.368254577,0.51461708,0.689063548,0.342279306,0.118234503,1,0,1,6
2,309_3,0.399846949,0.677348383,0.386086771,0.200737337,1.926426587,0.301880744,0.363879855,0.509183088,0.730246795,0.343696193,0.117760205,1,0,1,6
3,309_4,0.385638659,0.583276775,0.290679519,0.184169439,1.700563438,0.29638178,0.366770734,0.442106692,0.61707615,0.344509298,0.117439413,1,0,1,6
4,309_5,0.367530549,0.550960118,0.309345015,0.185718259,1.839730218,0.29682937,0.35155096,0.434940244,0.617429838,0.329125822,0.116047838,1,0,1,6
5,309_6,0.36940449,0.566339562,0.332367081,0.186792986,1.816388575,0.28803733,0.347224089,0.447506385,0.62817583,0.327597795,0.115243213,1,0,1,6
6,309_7,0.395977373,0.509899434,0.266857376,0.177033102,1.528483858,0.292194524,0.360307982,0.428032684,0.573695789,0.345380264,0.114752758,1,0,1,6
7,309_8,0.360718673,0.501074939,0.288607595,0.174599156,1.652658228,0.288523207,0.338298526,0.416922604,0.564035627,0.328163391,0.116202532,1,0,1,6
8,309_9,0.326566125,0.476653132,0.294112569,0.167472376,1.834599448,0.294457873,0.312064965,0.386310905,0.538428074,0.309164733,0.116799033,1,0,1,6
9,309_10,0.335418769,0.455499495,0.24977518,0.175584532,1.516861511,0.301821043,0.358627649,0.380827447,0.499293643,0.373965691,0.126573741,1,0,1,6
10,309_11,0.346036894,0.461179809,0.275416952,0.173292209,1.613548092,0.298377884,0.341374417,0.366511251,0.513277924,0.34684776,0.119716701,1,0,1,6
11,309_12,0.323125245,0.447192776,0.287319612,0.180151408,1.722971374,0.306837,0.330977621,0.364153907,0.499411072,0.333922261,0.115448308,1,0,1,6
12,309_13,0.384969646,0.471844254,0.244889503,0.167403315,1.426933702,0.279696133,0.32593678,0.364873351,0.482101737,0.322378062,0.126657459,1,0,1,6
13,309_14,0.343359458,0.463249312,0.254957109,0.170862045,1.500070314,0.283785684,0.329379369,0.381910612,0.485914001,0.339970345,0.123892561,1,0,1,6
14,309_15,0.351817622,0.426987061,0.269770774,0.161031519,1.613896848,0.285816619,0.30971452,0.37440953,0.46231259,0.326966523,0.118481375,1,0,1,6
15,311_1,0.537612248,1.081554541,0.294117647,0.191338074,1.297220427,0.28539108,0.523332843,0.743117916,0.862652731,0.387163256,0.13697479,1,0,1,6
16,311_2,0.555325035,1.07593361,0.380730897,0.193156146,1.363189369,0.278737542,0.474965422,0.711479945,0.807053942,0.362102351,0.136345515,1,0,1,6
17,311_3,0.528130171,1.065637066,0.400961278,0.196723531,1.404481451,0.281004603,0.457253172,0.704633205,0.802537231,0.35314396,0.133563499,1,0,1,6
18,311_4,0.520701231,0.977620291,0.283037639,0.189935334,1.170038136,0.291245233,0.497762029,0.677359194,0.770234987,0.398358821,0.130658266,1,0,1,6
19,311_5,0.487682334,0.838573744,0.353029922,0.193864722,1.272986338,0.280445897,0.4273906,0.591572123,0.678768233,0.327066451,0.14231833,1,0,1,6
20,311_6,0.504524887,0.871388792,0.362339515,0.186120668,1.279936226,0.261139549,0.432822833,0.618517229,0.716672468,0.36407936,0.131408912,1,0,1,6
21,311_7,0.492081975,0.886353051,0.243437017,0.19159497,1.178248401,0.283256122,0.505822077,0.702608291,0.69958081,0.4035864,0.130266931,1,0,1,6
22,311_8,0.473076923,0.850452489,0.323068246,0.190073322,1.219966159,0.282910321,0.484162896,0.598868778,0.690271493,0.381447964,0.14393683,1,0,1,6
23,311_9,0.39379223,0.822212838,0.312030075,0.18697479,1.246130031,0.280296329,0.421030405,0.561866554,0.641891892,0.357896959,0.129478107,1,0,1,6
24,311_10,0.469527193,0.711943154,0.251571468,0.190762503,1.077480186,0.269062585,0.491117792,0.55097021,0.561355562,0.399836021,0.099754031,1,0,1,6
25,311_11,0.498261144,0.839076826,0.29121179,0.193504367,1.144377729,0.260917031,0.562440721,0.538412899,0.701865318,0.447992412,0.133324236,1,0,1,6
26,311_12,0.445920808,0.733988839,0.313907658,0.192989865,1.238457207,0.251126126,0.450969971,0.521126761,0.583045442,0.386925326,0.137528153,1,0,1,6
27,311_13,0.430232558,0.685740514,0.170105528,0.17908332,0.981414396,0.239407781,0.480110159,0.488372093,0.540085679,0.382802938,0.117341314,1,0,1,6
28,311_14,0.40676359,0.686156764,0.232651103,0.180364567,0.994403582,0.225135913,0.474399494,0.514854614,0.564791403,0.408343869,0.13559322,1,0,1,6
29,311_15,0.421198157,0.695852535,0.239233666,0.183887342,1.030948092,0.244309808,0.459293395,0.485099846,0.556374808,0.361290323,0.128541019,1,0,1,6
30,320_1,0.534547503,1.022812617,0.676686905,0.172713362,1.649982724,0.355595044,0.488265115,0.627581675,0.954187007,0.358148704,0.119354361,1,0,1,6
31,320_2,0.550037979,1.053551082,0.637341343,0.167280302,1.63898847,0.350498983,0.506551462,0.651253323,0.962020509,0.395366502,0.124939444,1,0,1,6
32,320_3,0.555031595,1.025841743,0.590310006,0.182244292,1.564924819,0.351726378,0.539469961,0.64434594,0.9671791,0.383853626,0.120614442,1,0,1,6
33,320_4,0.493452454,0.906988129,0.598989964,0.166144601,1.68222208,0.341942083,0.467751805,0.568229103,0.812018113,0.342430547,0.122610752,1,0,1,6
34,320_5,0.502260739,0.917357448,0.576849975,0.169221997,1.660352255,0.355993411,0.496232102,0.587038433,0.863727707,0.360085406,0.131208819,1,0,1,6
35,320_6,0.501373626,0.917832168,0.529756455,0.172556919,1.61081609,0.354696942,0.529220779,0.595904096,0.861763237,0.366883117,0.128731002,1,0,1,6
36,320_7,0.4691432,0.799880168,0.577617658,0.172382342,1.727380518,0.351331631,0.460155782,0.522917915,0.721090473,0.340023966,0.135625684,1,0,1,6
37,320_8,0.45880901,0.819962974,0.520851509,0.169865643,1.650846275,0.34252312,0.491977785,0.530854674,0.748071583,0.350200555,0.145611586,1,0,1,6
38,320_9,0.466552848,0.839670961,0.485214708,0.175366418,1.555326991,0.346790092,0.529411765,0.534999224,0.773863107,0.375756635,0.126167824,1,0,1,6
39,320_10,0.474266108,0.787266489,0.551077788,0.181935333,1.655576382,0.343134958,0.479603507,0.519443385,0.736370568,0.356080823,0.144564199,1,0,1,6
40,320_11,0.468378327,0.781952048,0.52475133,0.177423086,1.681702521,0.360050891,0.492920521,0.508589768,0.735699453,0.39116481,0.144922508,1,0,1,6
41,320_12,0.467775468,0.795879796,0.442951542,0.179955947,1.585792952,0.338656388,0.524853525,0.516537517,0.737478737,0.3997354,0.137555066,1,0,1,6
42,320_13,0.458523245,0.731084777,0.529549848,0.172604253,1.615575808,0.325186413,0.477666363,0.454421149,0.685278031,0.353691887,0.132283899,1,0,1,6
43,320_14,0.468085106,0.760466712,0.482980434,0.173009917,1.561913696,0.320959528,0.489132922,0.471745596,0.697323267,0.373369938,0.122085232,1,0,1,6
44,320_15,0.471344765,0.756543321,0.442745098,0.176601307,1.530457516,0.324183007,0.527075812,0.481272563,0.684115523,0.379738267,0.13254902,1,0,1,6
45,321_1,0.398793198,0.832473944,0.534110017,0.177516214,1.680398751,0.349267355,0.478551838,0.560614372,0.763027976,0.337356007,0.130554888,1,0,1,6
46,321_2,0.396756757,0.843351351,0.521085595,0.177214435,1.720906651,0.354011333,0.478594595,0.516108108,0.749621622,0.337621622,0.133074858,1,0,1,6
47,321_3,0.403423773,0.832687339,0.519772388,0.184331532,1.645763881,0.353776296,0.507859604,0.507321275,0.77002584,0.351851852,0.127370962,1,0,1,6
48,321_4,0.37449421,0.719966513,0.50377873,0.171562135,1.699259836,0.337358785,0.471885029,0.505092786,0.695549044,0.329426538,0.132606155,1,0,1,6
49,321_5,0.384326281,0.729955457,0.498810711,0.176244917,1.705363309,0.351876007,0.486219376,0.479120267,0.689170379,0.339643653,0.140566255,1,0,1,6
50,321_6,0.371658483,0.711811238,0.514411075,0.183145472,1.68242681,0.362735457,0.507092199,0.457992362,0.703491544,0.348199673,0.128375823,1,0,1,6
51,321_7,0.351789896,0.643860823,0.472585639,0.169180066,1.653051034,0.341755718,0.446637671,0.420541987,0.62295082,0.319839411,0.140816938,1,0,1,6
52,321_8,0.371640248,0.630427292,0.482942431,0.167183563,1.653808878,0.348032564,0.477084769,0.437456926,0.6404204,0.339593384,0.142760225,1,0,1,6
53,321_9,0.360923803,0.630310182,0.507668564,0.193016302,1.607118742,0.358830906,0.496797033,0.403742414,0.640761969,0.340357384,0.145075721,1,0,1,6
54,321_10,0.388814016,0.619721473,0.548395616,0.16585237,1.739865311,0.315858973,0.442722372,0.383423181,0.58378257,0.347484277,0.122936749,1,0,1,6
55,321_11,0.38623627,0.599193006,0.549644456,0.175138267,1.718461944,0.327495391,0.445415826,0.38264963,0.596951356,0.343196593,0.138530419,1,0,1,6
56,321_12,0.372113481,0.585880801,0.546165055,0.172340707,1.690157637,0.34560869,0.447327909,0.396305256,0.577083792,0.337585221,0.133925023,1,0,1,6
57,321_13,0.369451697,0.551174935,0.527116402,0.169808201,1.73015873,0.322089947,0.420626632,0.378328982,0.590861619,0.352480418,0.135582011,1,0,1,6
58,321_14,0.389050516,0.617297011,0.529676693,0.169213447,1.633585331,0.325719801,0.45517059,0.366569691,0.573657762,0.340650622,0.134309152,1,0,1,6
59,321_15,0.386440678,0.583833116,0.509053036,0.169524115,1.613042782,0.331998077,0.433376793,0.385658409,0.583311604,0.349413299,0.131869893,1,0,1,6
60,322_1,0.296133776,0.643145161,0.45035929,0.158747617,1.817861857,0.337366183,0.457542694,0.3778463,0.555621442,0.293643264,0.127364716,1,0,1,6
61,322_2,0.311571589,0.674447635,0.444249726,0.158086893,1.769404892,0.323475721,0.481462988,0.39071277,0.582698789,0.31456747,0.127126689,1,0,1,6
62,322_3,0.331086984,0.663297142,0.435677159,0.159688132,1.723144672,0.367239388,0.489579433,0.395357544,0.576313491,0.319231249,0.123881028,1,0,1,6
63,322_4,0.316895843,0.607554923,0.413701775,0.149995586,1.682969895,0.315264412,0.465307413,0.384858543,0.540698593,0.314683104,0.124216474,1,0,1,6
64,322_5,0.309471366,0.597388295,0.410228608,0.158850637,1.753591759,0.323393874,0.471837634,0.356513531,0.524386407,0.313876652,0.13174302,1,0,1,6
65,322_6,0.319257025,0.588347357,0.407729995,0.16231174,1.72409726,0.331700236,0.489125258,0.362914748,0.555484998,0.322590887,0.134549084,1,0,1,6
66,322_7,0.303293236,0.545848945,0.370808679,0.153382063,1.626290753,0.317438218,0.464602642,0.359692368,0.500887399,0.318674818,0.122055923,1,0,1,6
67,322_8,0.300430866,0.511946729,0.381476224,0.158977999,1.61497516,0.31996688,0.464943204,0.379945163,0.504504505,0.318448884,0.125621008,1,0,1,6
68,322_9,0.287037037,0.509259259,0.372551362,0.161490683,1.586359293,0.326684185,0.470871914,0.328703704,0.493441358,0.323302469,0.126851409,1,0,1,6
69,322_10,0.315334268,0.528517999,0.340060824,0.155792093,1.538291402,0.319878352,0.467741935,0.346891071,0.47428705,0.316503039,0.132844899,1,0,1,6
70,322_11,0.299701218,0.503332567,0.341052632,0.163087719,1.577964912,0.315087719,0.453918639,0.33923236,0.477591358,0.323833601,0.135719298,1,0,1,6
71,322_12,0.291559504,0.498714052,0.346257252,0.158200085,1.547757181,0.314419131,0.468552724,0.341360767,0.480710779,0.32592939,0.130465544,1,0,1,6
72,322_13,0.329922566,0.52295354,0.302915767,0.154967603,1.392008639,0.337832973,0.499170354,0.34375,0.470409292,0.340431416,0.12562995,1,0,1,6
73,322_14,0.338959212,0.517018284,0.330545455,0.165636364,1.379272727,0.317818182,0.496202532,0.334739803,0.473980309,0.361181435,0.136181818,1,0,1,6
74,322_15,0.340066408,0.492529054,0.300750503,0.163646348,1.374519495,0.311184331,0.497786386,0.341449917,0.472329828,0.355838406,0.155775215,1,0,1,6
75,3415_1,0.512773403,0.969466317,0.54104099,0.163758117,1.627181412,0.321174919,0.361417323,0.649781277,0.828696413,0.340857393,0.128145292,1,0,1,6
76,3415_2,0.511502146,0.991845494,0.539226409,0.169981108,1.562096053,0.320473302,0.360257511,0.616480687,0.841974249,0.337682403,0.134582878,1,0,1,6
77,3415_3,0.533204667,0.989999123,0.561875442,0.175229636,1.571868376,0.317856061,0.374331082,0.637424335,0.852881832,0.342398456,0.12955486,1,0,1,6
78,3415_4,0.45919404,0.819166949,0.466762285,0.153778997,1.646607633,0.299825393,0.345185687,0.576814539,0.755389999,0.312111977,0.119356448,1,0,1,6
79,3415_5,0.486306773,0.815056914,0.491797166,0.163062391,1.607631121,0.303007706,0.346556971,0.542544799,0.757917277,0.309478192,0.128635347,1,0,1,6
80,3415_6,0.495769316,0.836450679,0.483420268,0.168219076,1.506520119,0.309736711,0.351592073,0.569917613,0.761077711,0.304720552,0.125062096,1,0,1,6
81,3415_7,0.432125769,0.719480519,0.393785357,0.149462983,1.54136263,0.273427892,0.334244703,0.494053315,0.666165414,0.296924129,0.115766172,1,0,1,6
82,3415_8,0.38280437,0.685744017,0.409064689,0.159373712,1.485702513,0.283971982,0.342741935,0.485691988,0.629682622,0.287200832,0.124927895,1,0,1,6
83,3415_9,0.419731544,0.690604027,0.418376748,0.160901248,1.509004104,0.287461261,0.341879195,0.508724832,0.655302013,0.298120805,0.124884831,1,0,1,6
84,3415_10,0.427968851,0.602693056,0.359329446,0.139629321,1.397438567,0.256768013,0.325438027,0.408176509,0.543640493,0.261680727,0.10849646,1,0,1,6
85,3415_11,0.388852779,0.617322067,0.374270833,0.149166667,1.388229167,0.2634375,0.335229119,0.417777056,0.548098798,0.269418265,0.121979167,1,0,1,6
86,3415_12,0.361538462,0.579214403,0.365617433,0.153489841,1.405726919,0.264448889,0.34304419,0.42913257,0.563175123,0.271522095,0.128434572,1,0,1,6
87,3415_13,0.346685645,0.545140301,0.226273847,0.099975851,0.820333253,0.244506158,0.349328996,0.367629118,0.504473363,0.267385116,0.08971263,1,0,1,6
88,3415_14,0.295055821,0.513755981,0.244690892,0.109249646,0.788461538,0.23666824,0.344098884,0.378987241,0.465510367,0.27053429,0.103704578,1,0,1,6
89,3415_15,0.317180617,0.492591109,0.264653217,0.125462576,0.790975289,0.23779396,0.334601522,0.373648378,0.471165398,0.260913096,0.118180733,1,0,1,6
90,3499_1,0.303951099,0.616672573,0.620987958,0.151388548,1.633226837,0.301794053,0.377126152,0.452427356,0.641389086,0.312189936,0.109953305,1,0,1,6
91,3499_2,0.318962401,0.642353579,0.602609326,0.156172989,1.582556173,0.300314086,0.370842372,0.458423717,0.672451193,0.322758496,0.112780865,1,0,1,6
92,3499_3,0.31220214,0.630608758,0.623012573,0.161489164,1.567437992,0.30477961,0.37352756,0.451128496,0.642658034,0.317687258,0.11339954,1,0,1,6
93,3499_4,0.295510662,0.455555556,0.578658346,0.144024961,1.606365055,0.288299532,0.333333333,0.355667789,0.518294052,0.280583614,0.106583463,1,0,1,6
94,3499_5,0.291242363,0.439239647,0.574760364,0.145918554,1.396849625,0.279198974,0.334125368,0.353473637,0.549558724,0.293957909,0.108553636,1,0,1,6
95,3499_6,0.295864023,0.460963173,0.586959217,0.149931821,1.593467212,0.283562663,0.336203966,0.357393768,0.550141643,0.292351275,0.110449981,1,0,1,6
96,3499_7,0.239031339,0.367094017,0.526307535,0.140672783,1.593664236,0.260644554,0.31994302,0.288176638,0.454273504,0.264814815,0.102407277,1,0,1,6
97,3499_8,0.241280732,0.371497999,0.526633633,0.144239703,1.537163208,0.261458656,0.319611206,0.287307033,0.457690109,0.26815323,0.109244348,1,0,1,6
98,3499_9,0.3031891,0.391076508,0.51235391,0.145893796,1.540591419,0.27060946,0.351100464,0.297349903,0.475370564,0.276089235,0.110283159,1,0,1,6
99,3499_10,0.274539363,0.317420436,0.467907445,0.136217304,1.386720322,0.236921529,0.319262982,0.252093802,0.394137353,0.262646566,0.095372233,1,0,1,6
100,3499_11,0.249155976,0.339466577,0.471810679,0.13542806,1.373371781,0.241026151,0.327987846,0.257765024,0.406144497,0.267555706,0.104504325,1,0,1,6
101,3499_12,0.244697362,0.348853251,0.475065617,0.137088633,1.370280638,0.249343832,0.335575099,0.264873254,0.426452837,0.273840317,0.110841914,1,0,1,6
102,3499_13,0.226539039,0.298798799,0.406458596,0.136749053,1.153526971,0.23434963,0.320945946,0.239489489,0.359421922,0.261824324,0.107883817,1,0,1,6
103,3499_14,0.213390686,0.297737049,0.410624551,0.139267767,1.14626705,0.21931084,0.316813166,0.246493361,0.361698148,0.267065644,0.126884422,1,0,1,6
104,3499_15,0.207642125,0.338676608,0.413558699,0.142384714,1.060260886,0.227264376,0.313699907,0.233550792,0.37054986,0.249394222,0.123093882,1,0,1,6
105,3507_1,0.323993742,0.674015076,0.5511395,0.157795127,1.712404385,0.299266619,0.419854928,0.406343337,0.596358982,0.319015787,0.123491838,1,0,1,6
106,3507_2,0.324358613,0.689878771,0.542485708,0.158039001,1.616023181,0.303547654,0.415280519,0.396814209,0.600930364,0.315900761,0.122484141,1,0,1,6
107,3507_3,0.346192457,0.683493475,0.574106295,0.157545081,1.670120215,0.303464094,0.423203786,0.433099097,0.635594436,0.317797218,0.120452388,1,0,1,6
108,3507_4,0.330136541,0.677828349,0.542167458,0.161296839,1.576911423,0.296939703,0.40263329,0.367035111,0.569895969,0.298439532,0.124330876,1,0,1,6
109,3507_5,0.313959265,0.651101176,0.541768045,0.157137064,1.558191403,0.295620438,0.387315781,0.381520119,0.580394105,0.303361484,0.126520681,1,0,1,6
